App_ID,游戏名称,最低CPU,最低显卡,最低内存,最低硬盘,最低配置的注意事项,推荐CPU,推荐显卡,推荐内存,推荐硬盘,推荐配置的注意事项
2435410,Trials Of Randoom,intel core i3 I3-3220,GTX 680 graphics video,4 GB RAM,需要 2 GB 可用空间,,intel core i3 I3-3220,GTX 780 graphics video,8 GB RAM,需要 2 GB 可用空间,
1759820,Crowd Playground,Intel Core i5,NVIDIA GeForce GTX 960,2 GB RAM,需要 2 GB 可用空间,,,,,,
1794370,哲学家之石和密涅瓦,Intel Core2 Duo,OpenGL,2 MB RAM,需要 500 MB 可用空间,,,,,,
1514890,VR Shark,Intel Pentium G4560 / AMD FX 8300,NVIDIA GTX 1050,8 GB RAM,需要 1.5 GB 可用空间,,Intel Core i5-4590 / AMD FX 8350 or higher,NVIDIA GTX 1050 or higher,16 GB RAM,需要 2 GB 可用空间,
680190,Interstellar Invaders,Intel Core 2 Duo E7500 - 2.93GHz,Intel Q45/Q43 Express Chipset,4 GB RAM,需要 890 MB 可用空间,附注事项: If running slow (below 60 fps) - try reducing your display resolution. It usually runs well at 800 x 600 - even on very old machines.,Intel i7 - 3630QM - 2.4GHz,Intel HD Graphics 4000,8 GB RAM,需要 890 MB 可用空间,附注事项: If running slow (below 60 fps) - try reducing your display resolution.
3173120,Bible Verse Challenge,1.7+ GHz or better,Must support OpenGL 2.1 or higher. Intel HD 3000 or better.,2 GB RAM,需要 100 MB 可用空间,,Intel(R) Core(TM) i5-4440 CPU,"Intel(R) UHD Graphics 630, 1GB VRAM",4 GB RAM,需要 400 MB 可用空间,
1553400,Smash Crates,Intel or AMD Dual Core at 2 GHz or better,Intel or AMD Dual Core at 2 GHz or better,2 GB RAM,需要 200 MB 可用空间,附注事项: Controllers recommended,,,,,
1428650,Gladiators Tale,,,300 MB RAM,需要 600 MB 可用空间,,,,500 MB RAM,需要 1 GB 可用空间,
3134710,The Green Wizard Gnome,Dual core from Intel or AMD at 2.8 GHz,"NVIDIA GeForce 8600/9600GT, ATI/AMD Radeon HD2600/3600",4 GB RAM,需要 300 MB 可用空间,,,,,,
938520,Twenty One,Any,It is not necessary.,,需要 90 MB 可用空间,附注事项: -,Any,It is not necessary.,,需要 90 MB 可用空间,附注事项: -
2273210,CryptoZoo,i3,,4 GB RAM,需要 500 MB 可用空间,,,,4 GB RAM,需要 500 MB 可用空间,
1698920,Kick It,Dual Core,ATI Radeon HD 4850 or NVIDIA GeForce 9600 GT,1 GB RAM,需要 100 MB 可用空间,附注事项: Mouse,,,,,附注事项: Mouse
2249020,Mindbytes: Learn to Read Japanese,"Intel i5-4590, AMD FX 8350 equivalent or better","Nvidia GeForce GTX 970, AMD Radeon R9 290 equivalent or better",1 GB RAM,需要 200 MB 可用空间,,,,,,
1318000,HTD,1.1 GHz processor,,2 GB RAM,需要 600 MB 可用空间,附注事项: 16:9 monitor recommended,1.6 GHz processor,,4 GB RAM,需要 600 MB 可用空间,附注事项: 16:9 monitor recommended
1270280,Pharao Reloaded,"x86, x64",,1 GB RAM,需要 140 MB 可用空间,,,,,,
1449760,Project Summit,Intel(R) Celeron(R) N4000,Intel HD Graphics,4 GB RAM,需要 135 MB 可用空间,,,,,,
3159780,野餐症候群,1 Ghz,DirectX or OpenGL compatible card,512 MB RAM,需要 512 MB 可用空间,,,,,,
1254610,Belote - Learn & Play,"x86, x64 architecture with SSE2 instruction set support.","DX10, DX11, DX12 Capable.",512 MB RAM,需要 200 MB 可用空间,,,,,,
1233460,Star Escape,2.0Ghz,Dedicated Graphics Card,100 MB RAM,需要 100 MB 可用空间,附注事项: Still testing minimum requirements,,,2 GB RAM,,
1787400,Mandala,Intel Core i5-4350,GeForce GTX 650,2 GB RAM,需要 300 MB 可用空间,,Intel Core i5-4350,GeForce GTX 650,2 GB RAM,需要 300 MB 可用空间,
1802680,Bruxa,2 GHz Dual Core CPU,Intel HD Graphics 4000 or better,2 GB RAM,需要 2 GB 可用空间,,2.5 GHz Dual Core CPU,Geforce GTX 970/Radeon RX470 or better,4 GB RAM,需要 2 GB 可用空间,
2419930,KoboldKroniken,2.4 GHz or better,6GB dedicated VRAM or better,6 GB RAM,需要 5 GB 可用空间,,,,,,
